changes,insertions,deletions
11,100,4
24,176,37
6,15,3
25,456,458
22,741,265
40,325,76
79,1110,317
53,1270,126
50,477,94
76,3207,261
40,1011,117
26,268,43
16,151,31
36,380,21
69,832,88
7,88,52
15,77,10
1035,188,6125
6,33,3
5,28,7
13,57,19
91,2407,925
389,2545,10172
24,203,87
33,308,20
23,140,14
35,305,95
64,467,117
12,89,13
24,493,37
6,28,2
11,85,18
79,1022,165
24,201,175
31,205,84
61,746,59
17,108,15
10,94,46
8,66,17
35,584,155
25,316,229
29,283,28
6,49,5
7,22,5
37,308,70
23,165,56
22,100,263
7,71,27
33,309,255
22,241,164
729,339,20038
52,520,238
12,157,87
81,1204,53
11,92,10
11,79,15
13,101,41
35,316,39
41,544,137
20,410,45
35,243,100
15,512,44
8,84,6
5,68,23
18,473,105
11,102,40
9,606,41
7,38,5
32,514,225
7,30,8
45,968,396
25,211,40
13,368,29
15,40,176
99,37,10443
23,677,25
59,421,309
33,3030,55
34,599,75
4,11,4
18,908,108
14,132,42
6,24,7
26,152,43
11,208,8
3,12,2
